Defect_ID,Defect_Type,Machine_ID,Production_Line,Defect_Date,Root_Cause,Resolution_Comment,Resolved_Date
D0443,Misalignment,MCH-344,Line-5,2025-08-06,Operator error,Secured wiring and scheduled preventive inspection,2025-08-09
D0444,Leakage,MCH-338,Line-3,2025-04-03,Improper calibration,Secured wiring and scheduled preventive inspection,2025-04-06
D0445,Misalignment,MCH-476,Line-1,2025-05-22,Worn-out die,Refilled coolant tank and fixed coolant flow sensor,2025-05-26
D0446,Burr Formation,MCH-205,Line-5,2025-08-31,Coolant shortage,Replaced gas regulator and trained operator,2025-09-05
D0447,Loose Assembly,MCH-156,Line-1,2025-02-23,Seal failure,Replaced cutting tool and added tool inspection schedule,2025-02-24
D0448,Electrical Failure,MCH-185,Line-3,2025-03-11,Improper calibration,Introduced torque check checklist and operator training,2025-03-12
D0449,Loose Assembly,MCH-147,Line-4,2025-09-14,Loose wiring,Refilled coolant tank and fixed coolant flow sensor,2025-09-19
D0450,Misalignment,MCH-366,Line-1,2025-01-20,Loose wiring,Refilled coolant tank and fixed coolant flow sensor,2025-01-25
D0451,Burr Formation,MCH-263,Line-1,2025-03-20,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-03-21
D0452,Burr Formation,MCH-286,Line-3,2025-04-23,Coolant shortage,Replaced cutting tool and added tool inspection schedule,2025-04-26
D0453,Welding Porosity,MCH-158,Line-5,2025-02-25,Operator error,Replaced gas regulator and trained operator,2025-02-28
D0454,Misalignment,MCH-201,Line-2,2025-07-27,Tool wear,Replaced cutting tool and added tool inspection schedule,2025-08-01
D0455,Paint Peeling,MCH-295,Line-2,2025-05-01,Improper curing temperature,Introduced torque check checklist and operator training,2025-05-06
D0456,Electrical Failure,MCH-328,Line-1,2025-04-09,High machine vibration,Calibrated equipment and updated calibration logs,2025-04-12
D0457,Paint Peeling,MCH-315,Line-3,2025-05-31,Worn-out die,Secured wiring and scheduled preventive inspection,2025-06-05
D0458,Overheating,MCH-166,Line-5,2025-06-03,Improper calibration,Polished die and added regular inspection routine,2025-06-04
D0459,Misalignment,MCH-474,Line-5,2025-04-28,Improper curing temperature,Replaced seal and added pressure monitoring,2025-04-29
D0460,Misalignment,MCH-275,Line-2,2025-01-24,Worn-out die,Secured wiring and scheduled preventive inspection,2025-01-29
D0461,Dimension Out of Tolerance,MCH-357,Line-3,2025-07-10,Loose wiring,Secured wiring and scheduled preventive inspection,2025-07-15
D0462,Paint Peeling,MCH-440,Line-3,2025-06-14,Improper curing temperature,Refilled coolant tank and fixed coolant flow sensor,2025-06-17
D0463,Dimension Out of Tolerance,MCH-331,Line-2,2025-01-05,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-01-09
D0464,Dimension Out of Tolerance,MCH-181,Line-2,2025-05-20,Improper curing temperature,Introduced torque check checklist and operator training,2025-05-21
D0465,Surface Crack,MCH-349,Line-3,2025-06-20,Loose wiring,Replaced seal and added pressure monitoring,2025-06-25
D0466,Dimension Out of Tolerance,MCH-237,Line-2,2025-03-05,Improper curing temperature,Secured wiring and scheduled preventive inspection,2025-03-10
D0467,Overheating,MCH-233,Line-3,2025-01-22,Improper calibration,Replaced seal and added pressure monitoring,2025-01-24
D0468,Leakage,MCH-247,Line-1,2025-08-04,Operator error,Replaced seal and added pressure monitoring,2025-08-08
D0469,Loose Assembly,MCH-426,Line-5,2025-02-28,Improper calibration,Replaced cutting tool and added tool inspection schedule,2025-03-03
D0470,Welding Porosity,MCH-416,Line-1,2025-07-22,Improper calibration,Refilled coolant tank and fixed coolant flow sensor,2025-07-24
D0471,Overheating,MCH-355,Line-1,2025-01-22,Improper curing temperature,Replaced gas regulator and trained operator,2025-01-23
D0472,Overheating,MCH-318,Line-4,2025-01-18,Worn-out die,Calibrated equipment and updated calibration logs,2025-01-21
D0473,Burr Formation,MCH-273,Line-3,2025-01-28,Loose wiring,Calibrated oven temperature and added monitoring alert,2025-01-31
D0474,Welding Porosity,MCH-198,Line-1,2025-01-08,Operator error,Refilled coolant tank and fixed coolant flow sensor,2025-01-13
D0475,Dimension Out of Tolerance,MCH-328,Line-1,2025-04-03,Operator error,Calibrated oven temperature and added monitoring alert,2025-04-08
D0476,Surface Crack,MCH-136,Line-4,2025-07-16,Operator error,Secured wiring and scheduled preventive inspection,2025-07-21
D0477,Dimension Out of Tolerance,MCH-227,Line-4,2025-06-23,Operator error,Replaced gas regulator and trained operator,2025-06-24
D0478,Paint Peeling,MCH-236,Line-2,2025-05-15,Gas flow inconsistency,Adjusted machine alignment and replaced worn-out bearings,2025-05-20
D0479,Paint Peeling,MCH-346,Line-2,2025-07-03,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-07-05
D0480,Dimension Out of Tolerance,MCH-387,Line-5,2025-04-07,Improper calibration,Refilled coolant tank and fixed coolant flow sensor,2025-04-11
D0481,Leakage,MCH-328,Line-3,2025-05-04,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-05-09
D0482,Misalignment,MCH-275,Line-3,2025-07-23,High machine vibration,Replaced seal and added pressure monitoring,2025-07-26
D0483,Loose Assembly,MCH-357,Line-1,2025-01-25,Seal failure,Calibrated equipment and updated calibration logs,2025-01-26
D0484,Leakage,MCH-148,Line-4,2025-01-21,Improper curing temperature,Polished die and added regular inspection routine,2025-01-23
D0485,Surface Crack,MCH-302,Line-2,2025-06-27,Worn-out die,Refilled coolant tank and fixed coolant flow sensor,2025-06-28
D0486,Welding Porosity,MCH-323,Line-2,2025-01-07,Coolant shortage,Refilled coolant tank and fixed coolant flow sensor,2025-01-11
D0487,Dimension Out of Tolerance,MCH-170,Line-4,2025-05-23,Loose wiring,Replaced gas regulator and trained operator,2025-05-28
D0488,Misalignment,MCH-278,Line-4,2025-04-03,Improper calibration,Secured wiring and scheduled preventive inspection,2025-04-05
D0489,Misalignment,MCH-380,Line-4,2025-09-10,Operator error,Secured wiring and scheduled preventive inspection,2025-09-11
D0490,Misalignment,MCH-499,Line-2,2025-03-02,Improper curing temperature,Polished die and added regular inspection routine,2025-03-05
D0491,Dimension Out of Tolerance,MCH-217,Line-2,2025-05-20,Coolant shortage,Replaced gas regulator and trained operator,2025-05-24
D0492,Electrical Failure,MCH-296,Line-2,2025-02-05,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-02-09
D0493,Welding Porosity,MCH-214,Line-4,2025-08-28,Improper curing temperature,Replaced seal and added pressure monitoring,2025-08-31
D0494,Overheating,MCH-154,Line-2,2025-03-20,Operator error,Replaced seal and added pressure monitoring,2025-03-23
D0495,Leakage,MCH-299,Line-5,2025-03-02,Operator error,Calibrated equipment and updated calibration logs,2025-03-06
D0496,Leakage,MCH-224,Line-2,2025-07-10,Coolant shortage,Replaced cutting tool and added tool inspection schedule,2025-07-12
D0497,Loose Assembly,MCH-383,Line-4,2025-06-28,Loose wiring,Introduced torque check checklist and operator training,2025-07-03
D0498,Burr Formation,MCH-412,Line-5,2025-02-15,Worn-out die,Calibrated equipment and updated calibration logs,2025-02-18
D0499,Paint Peeling,MCH-233,Line-1,2025-09-09,Tool wear,Polished die and added regular inspection routine,2025-09-11
D0500,Loose Assembly,MCH-479,Line-3,2025-01-02,Improper calibration,Introduced torque check checklist and operator training,2025-01-04
D0501,Dimension Out of Tolerance,MCH-144,Line-4,2025-03-28,Improper curing temperature,Refilled coolant tank and fixed coolant flow sensor,2025-04-02
D0502,Overheating,MCH-186,Line-4,2025-01-11,Operator error,Replaced seal and added pressure monitoring,2025-01-15
D0503,Dimension Out of Tolerance,MCH-364,Line-3,2025-01-24,Gas flow inconsistency,Replaced gas regulator and trained operator,2025-01-25
D0504,Leakage,MCH-405,Line-2,2025-01-14,Loose wiring,Replaced gas regulator and trained operator,2025-01-17
D0505,Surface Crack,MCH-246,Line-3,2025-04-17,Coolant shortage,Adjusted machine alignment and replaced worn-out bearings,2025-04-18
D0506,Overheating,MCH-368,Line-3,2025-07-29,Operator error,Replaced cutting tool and added tool inspection schedule,2025-08-01
D0507,Welding Porosity,MCH-143,Line-1,2025-01-12,Seal failure,Calibrated equipment and updated calibration logs,2025-01-15
D0508,Paint Peeling,MCH-152,Line-1,2025-03-16,Coolant shortage,Replaced cutting tool and added tool inspection schedule,2025-03-21
D0509,Surface Crack,MCH-169,Line-4,2025-08-19,Improper calibration,Replaced cutting tool and added tool inspection schedule,2025-08-23
D0510,Dimension Out of Tolerance,MCH-394,Line-1,2025-01-12,Seal failure,Replaced gas regulator and trained operator,2025-01-17
D0511,Paint Peeling,MCH-134,Line-3,2025-05-08,Tool wear,Secured wiring and scheduled preventive inspection,2025-05-12
D0512,Surface Crack,MCH-235,Line-3,2025-06-23,Loose wiring,Replaced seal and added pressure monitoring,2025-06-26
D0513,Misalignment,MCH-295,Line-2,2025-01-18,Coolant shortage,Calibrated oven temperature and added monitoring alert,2025-01-22
D0514,Misalignment,MCH-128,Line-5,2025-01-10,Loose wiring,Secured wiring and scheduled preventive inspection,2025-01-11
D0515,Leakage,MCH-394,Line-1,2025-01-26,Tool wear,Secured wiring and scheduled preventive inspection,2025-01-30
D0516,Dimension Out of Tolerance,MCH-336,Line-1,2025-03-24,Tool wear,Replaced gas regulator and trained operator,2025-03-29
D0517,Surface Crack,MCH-463,Line-2,2025-01-12,High machine vibration,Replaced cutting tool and added tool inspection schedule,2025-01-14
D0518,Leakage,MCH-105,Line-5,2025-07-03,Improper curing temperature,Replaced seal and added pressure monitoring,2025-07-04
D0519,Surface Crack,MCH-356,Line-5,2025-07-09,Operator error,Adjusted machine alignment and replaced worn-out bearings,2025-07-13
D0520,Welding Porosity,MCH-196,Line-3,2025-01-28,Gas flow inconsistency,Introduced torque check checklist and operator training,2025-01-30
D0521,Misalignment,MCH-499,Line-5,2025-04-27,Operator error,Introduced torque check checklist and operator training,2025-05-02
D0522,Paint Peeling,MCH-259,Line-4,2025-02-26,Improper curing temperature,Replaced cutting tool and added tool inspection schedule,2025-02-27
D0523,Loose Assembly,MCH-425,Line-1,2025-03-27,Seal failure,Refilled coolant tank and fixed coolant flow sensor,2025-03-29
D0524,Overheating,MCH-483,Line-3,2025-09-07,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-09-09
D0525,Dimension Out of Tolerance,MCH-393,Line-5,2025-08-03,Improper calibration,Replaced cutting tool and added tool inspection schedule,2025-08-05
D0526,Welding Porosity,MCH-234,Line-2,2025-05-12,Loose wiring,Secured wiring and scheduled preventive inspection,2025-05-15
D0527,Burr Formation,MCH-142,Line-4,2025-08-10,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-08-12
D0528,Electrical Failure,MCH-239,Line-5,2025-03-29,High machine vibration,Calibrated equipment and updated calibration logs,2025-04-03
D0529,Paint Peeling,MCH-397,Line-2,2025-08-27,Gas flow inconsistency,Calibrated oven temperature and added monitoring alert,2025-08-30
D0530,Dimension Out of Tolerance,MCH-453,Line-3,2025-01-07,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-01-09
D0531,Loose Assembly,MCH-347,Line-2,2025-01-24,Worn-out die,Secured wiring and scheduled preventive inspection,2025-01-29
D0532,Dimension Out of Tolerance,MCH-220,Line-5,2025-01-04,Coolant shortage,Adjusted machine alignment and replaced worn-out bearings,2025-01-06
D0533,Surface Crack,MCH-177,Line-3,2025-02-17,Improper curing temperature,Replaced gas regulator and trained operator,2025-02-21
D0534,Leakage,MCH-326,Line-2,2025-08-11,Improper calibration,Introduced torque check checklist and operator training,2025-08-15
D0535,Welding Porosity,MCH-360,Line-1,2025-03-28,Improper calibration,Polished die and added regular inspection routine,2025-03-29
D0536,Leakage,MCH-378,Line-2,2025-08-25,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-08-28
D0537,Electrical Failure,MCH-242,Line-1,2025-09-04,Gas flow inconsistency,Replaced seal and added pressure monitoring,2025-09-09
D0538,Burr Formation,MCH-329,Line-2,2025-02-03,High machine vibration,Secured wiring and scheduled preventive inspection,2025-02-05
D0539,Dimension Out of Tolerance,MCH-127,Line-2,2025-01-19,High machine vibration,Secured wiring and scheduled preventive inspection,2025-01-24
D0540,Overheating,MCH-265,Line-1,2025-05-16,Loose wiring,Introduced torque check checklist and operator training,2025-05-18
D0541,Overheating,MCH-341,Line-4,2025-03-11,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-03-15
D0542,Leakage,MCH-125,Line-3,2025-07-01,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-07-06
D0543,Leakage,MCH-495,Line-4,2025-05-17,Gas flow inconsistency,Calibrated oven temperature and added monitoring alert,2025-05-20
D0544,Dimension Out of Tolerance,MCH-386,Line-1,2025-06-04,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-06-05
D0545,Misalignment,MCH-231,Line-4,2025-05-21,Worn-out die,Replaced seal and added pressure monitoring,2025-05-23
D0546,Loose Assembly,MCH-492,Line-4,2025-04-13,Gas flow inconsistency,Introduced torque check checklist and operator training,2025-04-18
D0547,Overheating,MCH-432,Line-3,2025-01-02,Gas flow inconsistency,Replaced seal and added pressure monitoring,2025-01-05
D0548,Leakage,MCH-192,Line-4,2025-05-31,Coolant shortage,Replaced seal and added pressure monitoring,2025-06-03
D0549,Loose Assembly,MCH-294,Line-4,2025-07-09,Operator error,Calibrated oven temperature and added monitoring alert,2025-07-14
D0550,Electrical Failure,MCH-372,Line-5,2025-02-17,Coolant shortage,Calibrated oven temperature and added monitoring alert,2025-02-20
D0551,Electrical Failure,MCH-308,Line-1,2025-01-14,High machine vibration,Secured wiring and scheduled preventive inspection,2025-01-16
D0552,Overheating,MCH-186,Line-4,2025-07-02,High machine vibration,Calibrated equipment and updated calibration logs,2025-07-05
D0553,Misalignment,MCH-206,Line-2,2025-08-31,Tool wear,Adjusted machine alignment and replaced worn-out bearings,2025-09-02
D0554,Welding Porosity,MCH-446,Line-1,2025-06-14,Operator error,Calibrated oven temperature and added monitoring alert,2025-06-19
D0555,Overheating,MCH-360,Line-1,2025-06-30,Seal failure,Polished die and added regular inspection routine,2025-07-01
D0556,Loose Assembly,MCH-465,Line-2,2025-04-15,Loose wiring,Calibrated equipment and updated calibration logs,2025-04-20
D0557,Leakage,MCH-251,Line-2,2025-07-30,Seal failure,Calibrated oven temperature and added monitoring alert,2025-08-04
D0558,Misalignment,MCH-451,Line-1,2025-03-30,Worn-out die,Introduced torque check checklist and operator training,2025-04-01
D0559,Burr Formation,MCH-407,Line-1,2025-02-20,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-02-21
D0560,Misalignment,MCH-232,Line-5,2025-09-08,High machine vibration,Refilled coolant tank and fixed coolant flow sensor,2025-09-10
D0561,Leakage,MCH-201,Line-4,2025-08-19,Improper curing temperature,Polished die and added regular inspection routine,2025-08-22
D0562,Welding Porosity,MCH-281,Line-4,2025-03-05,Tool wear,Secured wiring and scheduled preventive inspection,2025-03-08
D0563,Welding Porosity,MCH-322,Line-2,2025-09-09,Seal failure,Replaced gas regulator and trained operator,2025-09-12
D0564,Misalignment,MCH-354,Line-1,2025-07-20,Improper curing temperature,Calibrated oven temperature and added monitoring alert,2025-07-24
D0565,Loose Assembly,MCH-235,Line-1,2025-06-09,Coolant shortage,Replaced gas regulator and trained operator,2025-06-12
D0566,Electrical Failure,MCH-392,Line-1,2025-09-18,High machine vibration,Secured wiring and scheduled preventive inspection,2025-09-20
D0567,Loose Assembly,MCH-213,Line-5,2025-08-10,Gas flow inconsistency,Secured wiring and scheduled preventive inspection,2025-08-12
D0568,Dimension Out of Tolerance,MCH-111,Line-5,2025-08-30,High machine vibration,Secured wiring and scheduled preventive inspection,2025-09-03
D0569,Overheating,MCH-466,Line-3,2025-06-07,Worn-out die,Calibrated equipment and updated calibration logs,2025-06-11
D0570,Welding Porosity,MCH-322,Line-3,2025-03-15,Seal failure,Replaced gas regulator and trained operator,2025-03-16
D0571,Dimension Out of Tolerance,MCH-122,Line-4,2025-02-20,Tool wear,Introduced torque check checklist and operator training,2025-02-22
D0572,Misalignment,MCH-269,Line-4,2025-07-10,Gas flow inconsistency,Replaced gas regulator and trained operator,2025-07-13
D0573,Loose Assembly,MCH-404,Line-1,2025-01-13,High machine vibration,Secured wiring and scheduled preventive inspection,2025-01-14
D0574,Leakage,MCH-101,Line-5,2025-05-07,Loose wiring,Calibrated oven temperature and added monitoring alert,2025-05-10
D0575,Surface Crack,MCH-347,Line-4,2025-03-03,Improper calibration,Replaced gas regulator and trained operator,2025-03-06
D0576,Electrical Failure,MCH-176,Line-1,2025-06-05,Operator error,Replaced gas regulator and trained operator,2025-06-10
D0577,Burr Formation,MCH-311,Line-4,2025-01-04,Worn-out die,Polished die and added regular inspection routine,2025-01-08
D0578,Electrical Failure,MCH-468,Line-1,2025-01-21,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-01-22
D0579,Loose Assembly,MCH-245,Line-4,2025-07-28,Worn-out die,Secured wiring and scheduled preventive inspection,2025-07-31
D0580,Loose Assembly,MCH-102,Line-3,2025-07-10,Operator error,Polished die and added regular inspection routine,2025-07-14
D0581,Dimension Out of Tolerance,MCH-328,Line-5,2025-03-13,High machine vibration,Polished die and added regular inspection routine,2025-03-16
D0582,Burr Formation,MCH-358,Line-1,2025-04-19,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-04-24
D0583,Electrical Failure,MCH-375,Line-2,2025-01-04,Tool wear,Calibrated equipment and updated calibration logs,2025-01-06
D0584,Welding Porosity,MCH-137,Line-4,2025-04-08,Gas flow inconsistency,Introduced torque check checklist and operator training,2025-04-11
D0585,Loose Assembly,MCH-244,Line-3,2025-01-05,Worn-out die,Introduced torque check checklist and operator training,2025-01-08
D0586,Welding Porosity,MCH-291,Line-4,2025-03-03,Improper curing temperature,Replaced seal and added pressure monitoring,2025-03-05
D0587,Electrical Failure,MCH-352,Line-5,2025-07-24,Improper calibration,Polished die and added regular inspection routine,2025-07-26
D0588,Loose Assembly,MCH-134,Line-4,2025-09-15,Seal failure,Polished die and added regular inspection routine,2025-09-17
D0589,Misalignment,MCH-213,Line-3,2025-03-14,Improper curing temperature,Replaced gas regulator and trained operator,2025-03-19
D0590,Welding Porosity,MCH-235,Line-5,2025-06-25,Coolant shortage,Introduced torque check checklist and operator training,2025-06-26
D0591,Electrical Failure,MCH-142,Line-5,2025-09-03,Improper curing temperature,Replaced cutting tool and added tool inspection schedule,2025-09-07
D0592,Misalignment,MCH-418,Line-5,2025-03-21,Worn-out die,Refilled coolant tank and fixed coolant flow sensor,2025-03-22
D0593,Surface Crack,MCH-221,Line-2,2025-02-27,Tool wear,Calibrated oven temperature and added monitoring alert,2025-02-28
D0594,Welding Porosity,MCH-416,Line-3,2025-01-25,Improper calibration,Replaced cutting tool and added tool inspection schedule,2025-01-29
D0595,Welding Porosity,MCH-352,Line-4,2025-01-09,Coolant shortage,Polished die and added regular inspection routine,2025-01-12
D0596,Electrical Failure,MCH-173,Line-4,2025-04-30,Loose wiring,Secured wiring and scheduled preventive inspection,2025-05-02
D0597,Dimension Out of Tolerance,MCH-424,Line-3,2025-03-16,Tool wear,Calibrated oven temperature and added monitoring alert,2025-03-17
D0598,Burr Formation,MCH-168,Line-5,2025-05-26,Seal failure,Calibrated equipment and updated calibration logs,2025-05-29
D0599,Surface Crack,MCH-285,Line-1,2025-01-12,Tool wear,Adjusted machine alignment and replaced worn-out bearings,2025-01-13
D0600,Welding Porosity,MCH-224,Line-2,2025-08-13,Improper curing temperature,Introduced torque check checklist and operator training,2025-08-16
D0601,Misalignment,MCH-172,Line-5,2025-06-02,Improper curing temperature,Calibrated oven temperature and added monitoring alert,2025-06-04
D0602,Electrical Failure,MCH-407,Line-2,2025-06-23,Improper curing temperature,Introduced torque check checklist and operator training,2025-06-25
D0603,Overheating,MCH-338,Line-2,2025-09-07,Tool wear,Replaced gas regulator and trained operator,2025-09-11
D0604,Paint Peeling,MCH-321,Line-3,2025-04-11,Improper calibration,Calibrated oven temperature and added monitoring alert,2025-04-12
D0605,Electrical Failure,MCH-255,Line-3,2025-02-14,Coolant shortage,Adjusted machine alignment and replaced worn-out bearings,2025-02-19
D0606,Overheating,MCH-380,Line-2,2025-05-31,Tool wear,Refilled coolant tank and fixed coolant flow sensor,2025-06-02
D0607,Leakage,MCH-332,Line-1,2025-07-12,Tool wear,Calibrated equipment and updated calibration logs,2025-07-17
D0608,Paint Peeling,MCH-493,Line-2,2025-04-09,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-04-12
D0609,Paint Peeling,MCH-251,Line-1,2025-05-26,Improper calibration,Replaced gas regulator and trained operator,2025-05-28
D0610,Surface Crack,MCH-308,Line-1,2025-03-13,Tool wear,Replaced cutting tool and added tool inspection schedule,2025-03-18
D0611,Paint Peeling,MCH-164,Line-2,2025-03-09,High machine vibration,Refilled coolant tank and fixed coolant flow sensor,2025-03-10
D0612,Dimension Out of Tolerance,MCH-198,Line-5,2025-05-14,Loose wiring,Introduced torque check checklist and operator training,2025-05-16
D0613,Electrical Failure,MCH-331,Line-4,2025-07-09,Seal failure,Calibrated oven temperature and added monitoring alert,2025-07-11
D0614,Misalignment,MCH-365,Line-1,2025-06-20,Seal failure,Refilled coolant tank and fixed coolant flow sensor,2025-06-23
D0615,Paint Peeling,MCH-347,Line-4,2025-06-15,High machine vibration,Secured wiring and scheduled preventive inspection,2025-06-16
D0616,Paint Peeling,MCH-295,Line-3,2025-02-21,Gas flow inconsistency,Polished die and added regular inspection routine,2025-02-25
D0617,Dimension Out of Tolerance,MCH-367,Line-3,2025-04-23,Operator error,Calibrated oven temperature and added monitoring alert,2025-04-26
D0618,Overheating,MCH-484,Line-1,2025-09-02,Seal failure,Calibrated oven temperature and added monitoring alert,2025-09-03
D0619,Leakage,MCH-131,Line-3,2025-06-09,Seal failure,Refilled coolant tank and fixed coolant flow sensor,2025-06-13
D0620,Leakage,MCH-120,Line-5,2025-03-16,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-03-19
D0621,Leakage,MCH-263,Line-4,2025-04-13,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-04-14
D0622,Dimension Out of Tolerance,MCH-364,Line-3,2025-03-20,Improper curing temperature,Introduced torque check checklist and operator training,2025-03-23
D0623,Burr Formation,MCH-231,Line-2,2025-07-31,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-08-01
D0624,Dimension Out of Tolerance,MCH-170,Line-2,2025-08-27,Worn-out die,Introduced torque check checklist and operator training,2025-09-01
D0625,Misalignment,MCH-106,Line-2,2025-06-06,Loose wiring,Replaced gas regulator and trained operator,2025-06-07
D0626,Overheating,MCH-323,Line-5,2025-01-27,Loose wiring,Replaced gas regulator and trained operator,2025-01-31
D0627,Surface Crack,MCH-474,Line-3,2025-01-14,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-01-16
D0628,Welding Porosity,MCH-166,Line-5,2025-03-16,Gas flow inconsistency,Replaced cutting tool and added tool inspection schedule,2025-03-17
D0629,Overheating,MCH-405,Line-5,2025-01-06,Improper curing temperature,Calibrated oven temperature and added monitoring alert,2025-01-11
D0630,Loose Assembly,MCH-442,Line-2,2025-03-06,Improper calibration,Adjusted machine alignment and replaced worn-out bearings,2025-03-10
D0631,Burr Formation,MCH-122,Line-4,2025-06-14,Coolant shortage,Calibrated oven temperature and added monitoring alert,2025-06-16
D0632,Welding Porosity,MCH-461,Line-5,2025-04-30,Seal failure,Secured wiring and scheduled preventive inspection,2025-05-01
D0633,Electrical Failure,MCH-279,Line-4,2025-04-18,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-04-21
D0634,Welding Porosity,MCH-126,Line-1,2025-08-07,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-08-12
D0635,Welding Porosity,MCH-470,Line-1,2025-01-31,Tool wear,Secured wiring and scheduled preventive inspection,2025-02-02
D0636,Loose Assembly,MCH-496,Line-4,2025-09-01,Worn-out die,Polished die and added regular inspection routine,2025-09-03
D0637,Paint Peeling,MCH-183,Line-3,2025-03-26,High machine vibration,Calibrated equipment and updated calibration logs,2025-03-27
D0638,Paint Peeling,MCH-242,Line-4,2025-03-09,High machine vibration,Introduced torque check checklist and operator training,2025-03-12
D0639,Paint Peeling,MCH-123,Line-4,2025-05-26,Gas flow inconsistency,Refilled coolant tank and fixed coolant flow sensor,2025-05-27
D0640,Loose Assembly,MCH-173,Line-1,2025-06-18,Loose wiring,Calibrated equipment and updated calibration logs,2025-06-21
D0641,Dimension Out of Tolerance,MCH-267,Line-1,2025-08-12,Seal failure,Replaced cutting tool and added tool inspection schedule,2025-08-15
D0642,Surface Crack,MCH-138,Line-1,2025-02-06,Gas flow inconsistency,Calibrated equipment and updated calibration logs,2025-02-09
D0643,Welding Porosity,MCH-457,Line-3,2025-03-17,Worn-out die,Adjusted machine alignment and replaced worn-out bearings,2025-03-18
D0644,Electrical Failure,MCH-425,Line-1,2025-01-14,Improper calibration,Calibrated oven temperature and added monitoring alert,2025-01-17
D0645,Electrical Failure,MCH-336,Line-1,2025-04-08,Worn-out die,Secured wiring and scheduled preventive inspection,2025-04-10
D0646,Electrical Failure,MCH-386,Line-3,2025-03-04,Seal failure,Replaced cutting tool and added tool inspection schedule,2025-03-08
D0647,Loose Assembly,MCH-122,Line-5,2025-06-26,High machine vibration,Refilled coolant tank and fixed coolant flow sensor,2025-06-29
D0648,Loose Assembly,MCH-246,Line-4,2025-08-21,Improper calibration,Secured wiring and scheduled preventive inspection,2025-08-23
D0649,Leakage,MCH-169,Line-3,2025-01-19,Loose wiring,Replaced cutting tool and added tool inspection schedule,2025-01-23
D0650,Burr Formation,MCH-376,Line-5,2025-07-04,Loose wiring,Adjusted machine alignment and replaced worn-out bearings,2025-07-06
D0651,Paint Peeling,MCH-250,Line-5,2025-08-06,High machine vibration,Polished die and added regular inspection routine,2025-08-08
D0652,Misalignment,MCH-197,Line-1,2025-03-16,Coolant shortage,Introduced torque check checklist and operator training,2025-03-19
D0653,Electrical Failure,MCH-113,Line-3,2025-07-29,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-07-30
D0654,Electrical Failure,MCH-104,Line-2,2025-07-03,Seal failure,Calibrated oven temperature and added monitoring alert,2025-07-05
D0655,Burr Formation,MCH-231,Line-2,2025-03-10,Improper curing temperature,Calibrated oven temperature and added monitoring alert,2025-03-11
D0656,Dimension Out of Tolerance,MCH-286,Line-4,2025-08-05,High machine vibration,Introduced torque check checklist and operator training,2025-08-06
D0657,Electrical Failure,MCH-134,Line-4,2025-02-27,Coolant shortage,Replaced gas regulator and trained operator,2025-03-03
D0658,Leakage,MCH-207,Line-2,2025-04-08,Loose wiring,Refilled coolant tank and fixed coolant flow sensor,2025-04-10
D0659,Burr Formation,MCH-418,Line-4,2025-09-12,Gas flow inconsistency,Refilled coolant tank and fixed coolant flow sensor,2025-09-17
D0660,Surface Crack,MCH-468,Line-4,2025-05-14,Coolant shortage,Calibrated oven temperature and added monitoring alert,2025-05-19
D0661,Loose Assembly,MCH-264,Line-3,2025-04-26,High machine vibration,Replaced gas regulator and trained operator,2025-04-30
D0662,Welding Porosity,MCH-415,Line-1,2025-01-06,Worn-out die,Replaced seal and added pressure monitoring,2025-01-10
D0663,Welding Porosity,MCH-190,Line-3,2025-05-05,Worn-out die,Replaced seal and added pressure monitoring,2025-05-09
D0664,Paint Peeling,MCH-205,Line-2,2025-09-14,Worn-out die,Introduced torque check checklist and operator training,2025-09-19
D0665,Paint Peeling,MCH-313,Line-1,2025-03-14,Loose wiring,Calibrated oven temperature and added monitoring alert,2025-03-18
D0666,Surface Crack,MCH-423,Line-2,2025-07-14,Gas flow inconsistency,Refilled coolant tank and fixed coolant flow sensor,2025-07-19
